historyId,userId,routineName,completedDate,duration,estimatedCalories
HISTORY-2a92ed53-0c77-4b26-8c67-7dd55474f31e,USER-DEMO,Guided Workout completed with 1 exercise(s),2026-06-22T21:28:48.856196300,240,28.0
HISTORY-a8bc98b3-4d53-4b12-9e3d-9869e238d318,USER-DEMO,Guided Workout completed with 2 exercise(s),2026-06-22T22:12:19.906867600,540,63.0
